"month","day","mean","sdmean","rollmean","year","date","minus","plus"
2,12,2.33381209903454e-06,2.0716112665631e-06,3.13089442175385e-06,2020,2020-02-12,5.8641145774223e-07,5.67537738576546e-06
2,13,5.38523864305427e-06,2.931040835741e-06,4.65805251464374e-06,2020,2020-02-13,2.93515138947922e-06,6.38095363980826e-06
2,14,6.25510680184241e-06,3.75944627032236e-06,5.80705002907336e-06,2020,2020-02-14,4.78361079080904e-06,6.83048926733768e-06
2,15,5.7808046423234e-06,5.55201039776278e-06,5.54945768744017e-06,2020,2020-02-15,4.84790273615789e-06,6.25101263872246e-06
2,16,4.6124616181547e-06,3.71945652346157e-06,5.24766454215867e-06,2020,2020-02-16,4.32297663882115e-06,6.17235244549619e-06
2,17,5.3497273659979e-06,7.07646978226569e-06,6.01833472688778e-06,2020,2020-02-17,4.33798894151279e-06,7.69868051226277e-06
2,18,8.09281519651073e-06,6.83980686688137e-06,7.19879095581786e-06,2020,2020-02-18,5.96448962604566e-06,8.43309228559007e-06
2,19,8.15383030494495e-06,5.43912385187163e-06,8.59128197036891e-06,2020,2020-02-19,7.14927760872168e-06,1.00332863320161e-05
2,20,9.52720040965105e-06,5.0888631339388e-06,7.95710383729358e-06,2020,2020-02-20,6.83203983111362e-06,9.08216784347354e-06
2,21,6.19028079728475e-06,6.53836355150924e-06,8.17965034856421e-06,2020,2020-02-21,5.5081132900547e-06,1.08511874070737e-05
2,22,8.82146983875684e-06,1.04331888617012e-05,8.33428912952926e-06,2020,2020-02-22,4.37067885997772e-06,1.22978993990808e-05
2,23,9.9911167525462e-06,1.08157736727725e-05,9.98113716309183e-06,2020,2020-02-23,6.01007211352268e-06,1.3952202212661e-05
2,24,1.11308248979724e-05,7.76899375730422e-06,8.64148079571147e-06,2020,2020-02-24,6.09699783169986e-06,1.11859637597231e-05
2,25,4.80250073661577e-06,5.02421846651856e-06,6.46260612777232e-06,2020,2020-02-25,4.7397050026078e-06,8.18550725293683e-06
2,26,3.45449274872873e-06,4.54719991806044e-06,3.98965822179402e-06,2020,2020-02-26,2.9662189835297e-06,5.01309746005834e-06
2,27,3.71198118003756e-06,2.59828874571895e-06,4.33841592817533e-06,2020,2020-02-27,3.63686097689305e-06,5.03997087945762e-06
2,28,5.84877385575971e-06,4.61523696134216e-06,4.94993862924521e-06,2020,2020-02-28,4.02525072590769e-06,5.87462653258273e-06
2,29,5.28906085193836e-06,5.97609969241326e-06,7.0055254800862e-06,2020,2020-02-29,5.32517969471121e-06,8.68587126546119e-06
3,1,9.87874173256053e-06,1.09293238827446e-05,6.87607761478885e-06,2020,2020-03-01,5.64177628501665e-06,8.11037894456106e-06
3,2,5.46043025986767e-06,5.18360229581672e-06,7.10063117533103e-06,2020,2020-03-02,5.6586268136838e-06,8.54263553697826e-06
3,3,5.96272153356489e-06,5.14390185843043e-06,5.74521544453312e-06,2020,2020-03-03,4.62015143835316e-06,6.87027945071309e-06
3,4,5.81249454016682e-06,4.92392038351651e-06,6.81346770526679e-06,2020,2020-03-04,4.14193064675728e-06,9.48500476377631e-06
3,5,8.66518704206867e-06,6.66109229222234e-06,7.53718682212479e-06,2020,2020-03-05,3.57357655257324e-06,1.15007970916763e-05
3,6,8.13387888413888e-06,6.58360204936409e-06,7.26727340791658e-06,2020,2020-03-06,3.29620835834743e-06,1.12383384574857e-05
3,7,5.0027542975422e-06,5.29656581982235e-06,5.78939665143089e-06,2020,2020-03-07,3.24491368741927e-06,8.33387961544251e-06
3,8,4.23155677261159e-06,2.66431921521951e-06,4.35100000134893e-06,2020,2020-03-08,2.62809887618442e-06,6.07390112651345e-06
3,9,3.81868893389301e-06,2.35367145192704e-06,3.46084327275255e-06,2020,2020-03-09,2.43740403448823e-06,4.48428251101687e-06
3,10,2.33228411175305e-06,1.01704410658469e-06,2.82882987618231e-06,2020,2020-03-10,2.12727492490002e-06,3.53038482746459e-06
3,11,2.33551658290086e-06,1.1151186319423e-06,2.50812914270395e-06,2020,2020-03-11,1.58344123936643e-06,3.43281704604147e-06
3,12,2.85658673345793e-06,1.54848777553212e-06,3.2076378971177e-06,2020,2020-03-12,1.9733365673455e-06,4.4419392268899e-06
3,13,4.43081037499431e-06,3.36089787903702e-06,4.27714328072911e-06,2020,2020-03-13,2.83513891908188e-06,5.71914764237635e-06
3,14,5.5440327337351e-06,4.10974298410586e-06,5.23619001602797e-06,2020,2020-03-14,4.111126009848e-06,6.36125402220793e-06
3,15,5.73372693935449e-06,1.99602400294287e-06,5.82680773870932e-06,2020,2020-03-15,3.1552706801998e-06,8.49834479721884e-06
3,16,6.20266354303837e-06,3.80463807178091e-06,5.45327098788202e-06,2020,2020-03-16,1.48966071833048e-06,9.41688125743357e-06
3,17,4.42342248125321e-06,2.62106343326902e-06,5.81083570725357e-06,2020,2020-03-17,1.83977065768442e-06,9.78190075682272e-06
3,18,6.80642109746913e-06,8.14028176117049e-06,5.86174966677085e-06,2020,2020-03-18,3.31726670275923e-06,8.40623263078246e-06
3,19,6.3554054215902e-06,6.2440802767308e-06,6.15192463772632e-06,2020,2020-03-19,4.4290235125618e-06,7.87482576289084e-06
3,20,5.29394739411962e-06,3.1899162929627e-06,5.91148020639493e-06,2020,2020-03-20,4.8880409681306e-06,6.93491944465925e-06
