date;year;month;day;hour;minute;second;T42
5.1.2018 13:00;2018;1;5;13;0;0;0,8648
5.1.2018 14:00;2018;1;5;14;0;0;1,0057
5.1.2018 15:00;2018;1;5;15;0;0;1,3452
5.1.2018 16:00;2018;1;5;16;0;0;1,3307
5.1.2018 17:00;2018;1;5;17;0;0;1,1885
5.1.2018 18:00;2018;1;5;18;0;0;0,7087
5.1.2018 19:00;2018;1;5;19;0;0;0,6135
5.1.2018 20:00;2018;1;5;20;0;0;1,2422
5.1.2018 21:00;2018;1;5;21;0;0;1,5007
5.1.2018 22:00;2018;1;5;22;0;0;1,6278
5.1.2018 23:00;2018;1;5;23;0;0;1,563
6.1.2018 0:00;2018;1;6;0;0;0;1,2285
6.1.2018 1:00;2018;1;6;1;0;0;0,7867
6.1.2018 2:00;2018;1;6;2;0;0;0,408
6.1.2018 3:00;2018;1;6;3;0;0;0,3617
6.1.2018 4:00;2018;1;6;4;0;0;0,2402
6.1.2018 5:00;2018;1;6;5;0;0;0,2212
6.1.2018 6:00;2018;1;6;6;0;0;0,194
6.1.2018 7:00;2018;1;6;7;0;0;0,1697
6.1.2018 8:00;2018;1;6;8;0;0;0,1602
6.1.2018 9:00;2018;1;6;9;0;0;0,1717
6.1.2018 10:00;2018;1;6;10;0;0;0,4025
6.1.2018 11:00;2018;1;6;11;0;0;0,4392
6.1.2018 12:00;2018;1;6;12;0;0;0,3702
6.1.2018 13:00;2018;1;6;13;0;0;0,4052
6.1.2018 14:00;2018;1;6;14;0;0;0,1195
6.1.2018 15:00;2018;1;6;15;0;0;-0,5262
6.1.2018 16:00;2018;1;6;16;0;0;-0,9625
6.1.2018 17:00;2018;1;6;17;0;0;-1,8532
6.1.2018 18:00;2018;1;6;18;0;0;-2,5602
6.1.2018 19:00;2018;1;6;19;0;0;-3,0308
6.1.2018 20:00;2018;1;6;20;0;0;-3,2942
6.1.2018 21:00;2018;1;6;21;0;0;-3,5357
6.1.2018 22:00;2018;1;6;22;0;0;-3,639
6.1.2018 23:00;2018;1;6;23;0;0;-3,864
7.1.2018 0:00;2018;1;7;0;0;0;-4,877
7.1.2018 1:00;2018;1;7;1;0;0;-5,8955
7.1.2018 2:00;2018;1;7;2;0;0;-6,6772
7.1.2018 3:00;2018;1;7;3;0;0;-7,2995
7.1.2018 4:00;2018;1;7;4;0;0;-7,4585
7.1.2018 5:00;2018;1;7;5;0;0;-7,407
7.1.2018 6:00;2018;1;7;6;0;0;-7,1363
7.1.2018 7:00;2018;1;7;7;0;0;-6,9692
7.1.2018 8:00;2018;1;7;8;0;0;-6,4295
7.1.2018 9:00;2018;1;7;9;0;0;-6,0995
7.1.2018 10:00;2018;1;7;10;0;0;-5,8575
7.1.2018 11:00;2018;1;7;11;0;0;-5,4563
7.1.2018 12:00;2018;1;7;12;0;0;-4,809
7.1.2018 13:00;2018;1;7;13;0;0;-4,165
7.1.2018 14:00;2018;1;7;14;0;0;-3,7257
7.1.2018 15:00;2018;1;7;15;0;0;-3,4448
7.1.2018 16:00;2018;1;7;16;0;0;-3,2313
7.1.2018 17:00;2018;1;7;17;0;0;-3
7.1.2018 18:00;2018;1;7;18;0;0;-2,9705
7.1.2018 19:00;2018;1;7;19;0;0;-3,0668
7.1.2018 20:00;2018;1;7;20;0;0;-2,9815
7.1.2018 21:00;2018;1;7;21;0;0;-2,5215
7.1.2018 22:00;2018;1;7;22;0;0;-2,239
7.1.2018 23:00;2018;1;7;23;0;0;-2,19
8.1.2018 0:00;2018;1;8;0;0;0;-2,1615
8.1.2018 1:00;2018;1;8;1;0;0;-2,1025
8.1.2018 2:00;2018;1;8;2;0;0;-2,3502
8.1.2018 3:00;2018;1;8;3;0;0;-3,1012
8.1.2018 4:00;2018;1;8;4;0;0;-3,6403
8.1.2018 5:00;2018;1;8;5;0;0;-3,7443
8.1.2018 6:00;2018;1;8;6;0;0;-3,8553
8.1.2018 7:00;2018;1;8;7;0;0;-4,0033
8.1.2018 8:00;2018;1;8;8;0;0;-4,4962
8.1.2018 9:00;2018;1;8;9;0;0;-5,3275
8.1.2018 10:00;2018;1;8;10;0;0;-5,989
8.1.2018 11:00;2018;1;8;11;0;0;-6,0318
8.1.2018 12:00;2018;1;8;12;0;0;-5,639
8.1.2018 13:00;2018;1;8;13;0;0;-5,2612
8.1.2018 14:00;2018;1;8;14;0;0;-5,1982
8.1.2018 15:00;2018;1;8;15;0;0;-5,7252
8.1.2018 16:00;2018;1;8;16;0;0;-6,4112
8.1.2018 17:00;2018;1;8;17;0;0;-6,4885
8.1.2018 18:00;2018;1;8;18;0;0;-6,2673
8.1.2018 19:00;2018;1;8;19;0;0;-6,659
8.1.2018 20:00;2018;1;8;20;0;0;-7,3127
8.1.2018 21:00;2018;1;8;21;0;0;-6,5222
8.1.2018 22:00;2018;1;8;22;0;0;-5,2988
8.1.2018 23:00;2018;1;8;23;0;0;-4,2812
9.1.2018 0:00;2018;1;9;0;0;0;-3,8782
9.1.2018 1:00;2018;1;9;1;0;0;-2,9638
9.1.2018 2:00;2018;1;9;2;0;0;-2,5565
9.1.2018 3:00;2018;1;9;3;0;0;-2,4152
9.1.2018 4:00;2018;1;9;4;0;0;-1,9343
9.1.2018 5:00;2018;1;9;5;0;0;-1,1972
